Marker,Cell,Group,t-test score
TMSB4X,T,Carcinosarcoma,40.52
MT-ATP6,T,Carcinosarcoma,40.36
MT-ND1,T,Carcinosarcoma,40.3
IFI6,T,Carcinosarcoma,39.07
RSRP1,T,Normal Endometrial,27.67
CIRBP,T,Normal Endometrial,24.06
ESR1,T,Normal Endometrial,22.3
ARGLU1,T,Normal Endometrial,21.71
HMGA2,B,Carcinosarcoma,22.13
ITM2C,B,Carcinosarcoma,20.58
MDFI,B,Carcinosarcoma,20.45
FXYD6,B,Carcinosarcoma,20.31
PIGR,B,Normal Endometrial,16.47
EVL,B,Normal Endometrial,16.45
WFDC2,B,Normal Endometrial,15.55
ASRGL1,B,Normal Endometrial,14.66